El.  	  Z	   A	Spin/Parity  	  Isotopic fraction	  Mag. moment	  num. density (core)	  num. density (mantle)	  num. density (crust)
H    	  1	   1	1/2+         	             0.9999	    2.79285  	          3.93059e+36	            3.24329e+35	           2.59792e+36
H    	  1	   2	1+           	             0.0001	    0.857438 	          3.93059e+36	            3.24329e+35	           2.59792e+36
He   	  2	   3	1/2+         	             0     	   -2.1275   	          0          	            0          	           2.39868e+30
He   	  2	   4	0+           	             1     	    0        	          0          	            0          	           2.39868e+30
Li   	  3	   6	1+           	             0.0759	    0.822047 	          0          	            6.28005e+32	           4.27584e+33
Li   	  3	   7	3/2-         	             0.9241	    3.25643  	          0          	            6.28005e+32	           4.27584e+33
Be   	  4	   9	3/2-         	             1     	   -1.1778   	          0          	            1.87429e+31	           3.68067e+32
B    	  5	  10	3+           	             0.199 	    1.80064  	          0          	            6.55198e+31	           1.38876e+33
B    	  5	  11	3/2-         	             0.801 	    2.68865  	          0          	            6.55198e+31	           1.38876e+33
C    	  6	  12	0+           	             0.9893	    0        	          1.09956e+36	            2.26822e+34	           2.6163e+35
C    	  6	  13	1/2-         	             0.0107	    0.702412 	          1.09956e+36	            2.26822e+34	           2.6163e+35
N    	  7	  14	1+           	             0.9963	    0.403761 	          3.53576e+34	            3.89e+32   	           2.49275e+33
N    	  7	  15	1/2-         	             0.0036	   -0.283189 	          3.53576e+34	            3.89e+32   	           2.49275e+33
O    	  8	  16	0+           	             0.9976	    0        	          0          	            7.54866e+37	           5.01949e+37
O    	  8	  17	5/2+         	             0.0004	   -1.89379  	          0          	            7.54866e+37	           5.01949e+37
O    	  8	  18	0+           	             0.0021	    0        	          0          	            7.54866e+37	           5.01949e+37
F    	  9	  19	1/2+         	             1     	    2.62887  	          0          	            3.58507e+33	           4.96227e+34
Ne   	 10	  20	0+           	             0.9048	    0        	          0          	            0          	           2.59534e+29
Ne   	 10	  21	3/2+         	             0.0027	   -0.661797 	          0          	            0          	           2.59534e+29
Ne   	 10	  22	0+           	             0.0925	    0        	          0          	            0          	           2.59534e+29
Na   	 11	  23	3/2+         	             1     	    2.21752  	          0          	            3.06921e+35	           1.74656e+36
Mg   	 12	  24	0+           	             0.7899	    0        	          0          	            2.48505e+37	           2.08304e+36
Mg   	 12	  25	5/2+         	             0.1   	   -0.85545  	          0          	            2.48505e+37	           2.08304e+36
Mg   	 12	  26	0+           	             0.1101	    0        	          0          	            2.48505e+37	           2.08304e+36
Al   	 13	  27	5/2+         	             1     	    3.64151  	          0          	            2.40308e+36	           5.24089e+36
Si   	 14	  28	0+           	             0.9222	    0        	          1.41068e+37	            2.05836e+37	           1.6783e+37
Si   	 14	  29	1/2+         	             0.0469	   -0.55529  	          1.41068e+37	            2.05836e+37	           1.6783e+37
Si   	 14	  30	0+           	             0.0309	    0        	          1.41068e+37	            2.05836e+37	           1.6783e+37
P    	 15	  31	1/2+         	             1     	    1.1316   	          4.26383e+35	            7.65221e+33	           5.57998e+34
S    	 16	  32	0+           	             0.9499	    0        	          3.91281e+36	            1.69928e+34	           2.28672e+34
S    	 16	  33	3/2+         	             0.0075	    0.643821 	          3.91281e+36	            1.69928e+34	           2.28672e+34
S    	 16	  34	0+           	             0.0425	    0        	          3.91281e+36	            1.69928e+34	           2.28672e+34
S    	 16	  36	0+           	             0.0001	    0        	          3.91281e+36	            1.69928e+34	           2.28672e+34
Cl   	 17	  35	3/2+         	             0.7576	    0.821874 	          3.72515e+34	            2.30533e+33	           8.37125e+33
Cl   	 17	  37	3/2+         	             0.2424	    0.684124 	          3.72515e+34	            2.30533e+33	           8.37125e+33
Ar   	 18	  36	0+           	             0.0033	    0        	          0          	            0          	           6.55527e+31
Ar   	 18	  38	0+           	             0.0006	    0        	          0          	            0          	           6.55527e+31
Ar   	 18	  40	0+           	             0.996 	    0        	          0          	            0          	           6.55527e+31
K    	 19	  39	3/2+         	             0.9326	    0.39147  	          0          	            1.81169e+34	           6.69779e+35
K    	 19	  40	4-           	             0.0001	   -1.2981   	          0          	            1.81169e+34	           6.69779e+35
K    	 19	  41	3/2+         	             0.0673	    0.21487  	          0          	            1.81169e+34	           6.69779e+35
Ca   	 20	  40	0+           	             0.9694	    0        	          0          	            1.77419e+36	           2.178e+36
Ca   	 20	  42	0+           	             0.0065	    0        	          0          	            1.77419e+36	           2.178e+36
Ca   	 20	  43	7/2-         	             0.0014	   -1.3173   	          0          	            1.77419e+36	           2.178e+36
Ca   	 20	  44	0+           	             0.0209	    0        	          0          	            1.77419e+36	           2.178e+36
Ca   	 20	  46	0+           	             0     	    0        	          0          	            1.77419e+36	           2.178e+36
Ca   	 20	  48	0+           	             0.0019	    0        	          0          	            1.77419e+36	           2.178e+36
Sc   	 21	  45	7/2-         	             1     	    4.75649  	          0          	            9.93851e+32	           1.00967e+33
Ti   	 22	  46	0+           	             0.0825	    0        	          0          	            7.19978e+34	           2.40714e+35
Ti   	 22	  47	5/2-         	             0.0744	   -0.78848  	          0          	            7.19978e+34	           2.40714e+35
Ti   	 22	  48	0+           	             0.7372	    0        	          0          	            7.19978e+34	           2.40714e+35
Ti   	 22	  49	7/2-         	             0.0541	   -1.10417  	          0          	            7.19978e+34	           2.40714e+35
Ti   	 22	  50	0+           	             0.0518	    0        	          0          	            7.19978e+34	           2.40714e+35
V    	 23	  50	6+           	             0.0025	    3.34569  	          1.94438e+34	            4.59926e+33	           6.51137e+33
V    	 23	  51	7/2-         	             0.9975	    5.14871  	          1.94438e+34	            4.59926e+33	           6.51137e+33
Cr   	 24	  50	0+           	             0.0435	    0        	          1.14298e+36	            1.32037e+35	           4.70059e+33
Cr   	 24	  52	0+           	             0.8379	    0        	          1.14298e+36	            1.32037e+35	           4.70059e+33
Cr   	 24	  53	3/2-         	             0.095 	   -0.47454  	          1.14298e+36	            1.32037e+35	           4.70059e+33
Cr   	 24	  54	0+           	             0.0237	    0        	          1.14298e+36	            1.32037e+35	           4.70059e+33
Mn   	 25	  55	5/2-         	             1     	    3.4532   	          3.60591e+34	            5.20693e+34	           3.49554e+34
Fe   	 26	  54	0+           	             0.0585	    0        	          1.01099e+38	            3.07342e+36	           1.96948e+36
Fe   	 26	  56	0+           	             0.9175	    0        	          1.01099e+38	            3.07342e+36	           1.96948e+36
Fe   	 26	  57	1/2-         	             0.0212	    0.09044  	          1.01099e+38	            3.07342e+36	           1.96948e+36
Fe   	 26	  58	0+           	             0.0028	    0        	          1.01099e+38	            3.07342e+36	           1.96948e+36
Co   	 27	  59	7/2-         	             1     	    4.627    	          2.80123e+31	            4.71527e+33	           8.88704e+32
Ni   	 28	  58	0+           	             0.6808	    0        	          5.85038e+36	            8.6336e+34 	           2.67701e+33
Ni   	 28	  60	0+           	             0.2622	    0        	          5.85038e+36	            8.6336e+34 	           2.67701e+33
